Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-19T21:54:52+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 5.93, 4.51, 3.83
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
BM_Cancel/65536/iterations:65536_mean                                           131 ns          131 ns            5
BM_Cancel/65536/iterations:65536_median                                         131 ns          130 ns            5
BM_Cancel/65536/iterations:65536_stddev                                        2.07 ns         2.03 ns            5
BM_Cancel/65536/iterations:65536_cv                                            1.58 %          1.55 %             5
BM_Replace_PriorityPreserving/1/iterations:65536_mean                          27.2 ns         27.1 ns            5
BM_Replace_PriorityPreserving/1/iterations:65536_median                        27.0 ns         27.0 ns            5
BM_Replace_PriorityPreserving/1/iterations:65536_stddev                       0.486 ns        0.321 ns            5
BM_Replace_PriorityPreserving/1/iterations:65536_cv                            1.79 %          1.18 %             5
BM_Replace_PriorityPreserving/16/iterations:65536_mean                         27.8 ns         27.8 ns            5
BM_Replace_PriorityPreserving/16/iterations:65536_median                       27.6 ns         27.6 ns            5
BM_Replace_PriorityPreserving/16/iterations:65536_stddev                      0.623 ns        0.595 ns            5
BM_Replace_PriorityPreserving/16/iterations:65536_cv                           2.24 %          2.14 %             5
BM_Replace_PriorityPreserving/256/iterations:65536_mean                        28.7 ns         28.7 ns            5
BM_Replace_PriorityPreserving/256/iterations:65536_median                      28.0 ns         28.0 ns            5
BM_Replace_PriorityPreserving/256/iterations:65536_stddev                      1.17 ns         1.09 ns            5
BM_Replace_PriorityPreserving/256/iterations:65536_cv                          4.09 %          3.82 %             5
BM_Replace_PriorityPreserving/4096/iterations:65536_mean                       31.5 ns         31.4 ns            5
BM_Replace_PriorityPreserving/4096/iterations:65536_median                     31.1 ns         31.1 ns            5
BM_Replace_PriorityPreserving/4096/iterations:65536_stddev                    0.921 ns        0.611 ns            5
BM_Replace_PriorityPreserving/4096/iterations:65536_cv                         2.92 %          1.95 %             5
BM_Replace_PriorityPreserving/65536/iterations:65536_mean                      33.4 ns         33.4 ns            5
BM_Replace_PriorityPreserving/65536/iterations:65536_median                    33.2 ns         33.2 ns            5
BM_Replace_PriorityPreserving/65536/iterations:65536_stddev                   0.540 ns        0.464 ns            5
BM_Replace_PriorityPreserving/65536/iterations:65536_cv                        1.61 %          1.39 %             5
BM_Replace_PriorityLosing_QuantityIncrease/1/iterations:65536_mean             73.4 ns         73.3 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/1/iterations:65536_median           69.6 ns         69.6 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/1/iterations:65536_stddev           8.95 ns         8.68 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/1/iterations:65536_cv              12.19 %         11.84 %             5
BM_Replace_PriorityLosing_QuantityIncrease/16/iterations:65536_mean             104 ns          104 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/16/iterations:65536_median           103 ns          103 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/16/iterations:65536_stddev          3.70 ns         3.72 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/16/iterations:65536_cv              3.54 %          3.56 %             5
BM_Replace_PriorityLosing_QuantityIncrease/256/iterations:65536_mean            166 ns          166 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/256/iterations:65536_median          166 ns          165 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/256/iterations:65536_stddev        0.726 ns        0.796 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/256/iterations:65536_cv             0.44 %          0.48 %             5
BM_Replace_PriorityLosing_QuantityIncrease/4096/iterations:65536_mean           213 ns          213 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/4096/iterations:65536_median         213 ns          213 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/4096/iterations:65536_stddev        1.79 ns         1.62 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/4096/iterations:65536_cv            0.84 %          0.76 %             5
BM_Replace_PriorityLosing_QuantityIncrease/65536/iterations:65536_mean          658 ns          657 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/65536/iterations:65536_median        655 ns          654 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/65536/iterations:65536_stddev       7.00 ns         6.88 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/65536/iterations:65536_cv           1.07 %          1.05 %             5
BM_Replace_PriorityLosing_PriceChange/1/iterations:65536_mean                  74.8 ns         74.6 ns            5
BM_Replace_PriorityLosing_PriceChange/1/iterations:65536_median                70.7 ns         70.7 ns            5
BM_Replace_PriorityLosing_PriceChange/1/iterations:65536_stddev                9.67 ns         9.58 ns            5
BM_Replace_PriorityLosing_PriceChange/1/iterations:65536_cv                   12.93 %         12.85 %             5
BM_Replace_PriorityLosing_PriceChange/16/iterations:65536_mean                  105 ns          105 ns            5
BM_Replace_PriorityLosing_PriceChange/16/iterations:65536_median                103 ns          103 ns            5
BM_Replace_PriorityLosing_PriceChange/16/iterations:65536_stddev               3.54 ns         3.45 ns            5
BM_Replace_PriorityLosing_PriceChange/16/iterations:65536_cv                   3.38 %          3.30 %             5
BM_Replace_PriorityLosing_PriceChange/256/iterations:65536_mean                 166 ns          166 ns            5
BM_Replace_PriorityLosing_PriceChange/256/iterations:65536_median               166 ns          166 ns            5
BM_Replace_PriorityLosing_PriceChange/256/iterations:65536_stddev             0.889 ns        0.754 ns            5
BM_Replace_PriorityLosing_PriceChange/256/iterations:65536_cv                  0.54 %          0.46 %             5
BM_Replace_PriorityLosing_PriceChange/4096/iterations:65536_mean                210 ns          210 ns            5
BM_Replace_PriorityLosing_PriceChange/4096/iterations:65536_median              210 ns          209 ns            5
BM_Replace_PriorityLosing_PriceChange/4096/iterations:65536_stddev             1.62 ns         1.55 ns            5
BM_Replace_PriorityLosing_PriceChange/4096/iterations:65536_cv                 0.77 %          0.74 %             5
BM_Replace_PriorityLosing_PriceChange/65536/iterations:65536_mean               645 ns          644 ns            5
BM_Replace_PriorityLosing_PriceChange/65536/iterations:65536_median             646 ns          646 ns            5
BM_Replace_PriorityLosing_PriceChange/65536/iterations:65536_stddev            12.9 ns         12.7 ns            5
BM_Replace_PriorityLosing_PriceChange/65536/iterations:65536_cv                2.00 %          1.97 %             5
BM_Fok_Rejected_CrossableLevels/1/iterations:65536_mean                        8.02 ns         8.02 ns            5
BM_Fok_Rejected_CrossableLevels/1/iterations:65536_median                      8.06 ns         8.09 ns            5
BM_Fok_Rejected_CrossableLevels/1/iterations:65536_stddev                     0.095 ns        0.100 ns            5
BM_Fok_Rejected_CrossableLevels/1/iterations:65536_cv                          1.18 %          1.25 %             5
BM_Fok_Rejected_CrossableLevels/4/iterations:65536_mean                        16.1 ns         16.1 ns            5
BM_Fok_Rejected_CrossableLevels/4/iterations:65536_median                      16.3 ns         16.3 ns            5
