Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-20T02:24:16+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 4.42, 5.08, 4.89
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
BM_Replace_PriorityPreserving/4096/iterations:65536_stddev                    0.022 ns        0.024 ns            5
BM_Replace_PriorityPreserving/4096/iterations:65536_cv                         0.08 %          0.09 %             5
BM_Replace_PriorityPreserving/65536/iterations:65536_mean                      27.9 ns         27.9 ns            5
BM_Replace_PriorityPreserving/65536/iterations:65536_median                    27.8 ns         27.8 ns            5
BM_Replace_PriorityPreserving/65536/iterations:65536_stddev                   0.346 ns        0.343 ns            5
BM_Replace_PriorityPreserving/65536/iterations:65536_cv                        1.24 %          1.23 %             5
BM_Replace_PriorityLosing_QuantityIncrease/1/iterations:65536_mean             50.6 ns         50.6 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/1/iterations:65536_median           50.6 ns         50.6 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/1/iterations:65536_stddev          0.122 ns        0.123 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/1/iterations:65536_cv               0.24 %          0.24 %             5
BM_Replace_PriorityLosing_QuantityIncrease/16/iterations:65536_mean            78.7 ns         78.7 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/16/iterations:65536_median          78.7 ns         78.8 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/16/iterations:65536_stddev         0.311 ns        0.313 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/16/iterations:65536_cv              0.40 %          0.40 %             5
BM_Replace_PriorityLosing_QuantityIncrease/256/iterations:65536_mean            129 ns          129 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/256/iterations:65536_median          129 ns          129 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/256/iterations:65536_stddev        0.699 ns        0.698 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/256/iterations:65536_cv             0.54 %          0.54 %             5
BM_Replace_PriorityLosing_QuantityIncrease/4096/iterations:65536_mean           168 ns          168 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/4096/iterations:65536_median         167 ns          167 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/4096/iterations:65536_stddev        1.67 ns         1.67 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/4096/iterations:65536_cv            1.00 %          1.00 %             5
BM_Replace_PriorityLosing_QuantityIncrease/65536/iterations:65536_mean          514 ns          514 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/65536/iterations:65536_median        511 ns          511 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/65536/iterations:65536_stddev       7.72 ns         7.72 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/65536/iterations:65536_cv           1.50 %          1.50 %             5
BM_Replace_PriorityLosing_PriceChange/1/iterations:65536_mean                  51.4 ns         51.4 ns            5
BM_Replace_PriorityLosing_PriceChange/1/iterations:65536_median                51.4 ns         51.4 ns            5
BM_Replace_PriorityLosing_PriceChange/1/iterations:65536_stddev               0.091 ns        0.096 ns            5
BM_Replace_PriorityLosing_PriceChange/1/iterations:65536_cv                    0.18 %          0.19 %             5
BM_Replace_PriorityLosing_PriceChange/16/iterations:65536_mean                 78.8 ns         78.8 ns            5
BM_Replace_PriorityLosing_PriceChange/16/iterations:65536_median               78.7 ns         78.8 ns            5
BM_Replace_PriorityLosing_PriceChange/16/iterations:65536_stddev              0.225 ns        0.223 ns            5
BM_Replace_PriorityLosing_PriceChange/16/iterations:65536_cv                   0.29 %          0.28 %             5
BM_Replace_PriorityLosing_PriceChange/256/iterations:65536_mean                 129 ns          129 ns            5
BM_Replace_PriorityLosing_PriceChange/256/iterations:65536_median               129 ns          129 ns            5
BM_Replace_PriorityLosing_PriceChange/256/iterations:65536_stddev             0.513 ns        0.511 ns            5
BM_Replace_PriorityLosing_PriceChange/256/iterations:65536_cv                  0.40 %          0.39 %             5
BM_Replace_PriorityLosing_PriceChange/4096/iterations:65536_mean                167 ns          167 ns            5
BM_Replace_PriorityLosing_PriceChange/4096/iterations:65536_median              167 ns          167 ns            5
BM_Replace_PriorityLosing_PriceChange/4096/iterations:65536_stddev            0.971 ns        0.971 ns            5
BM_Replace_PriorityLosing_PriceChange/4096/iterations:65536_cv                 0.58 %          0.58 %             5
BM_Replace_PriorityLosing_PriceChange/65536/iterations:65536_mean               537 ns          537 ns            5
BM_Replace_PriorityLosing_PriceChange/65536/iterations:65536_median             544 ns          544 ns            5
BM_Replace_PriorityLosing_PriceChange/65536/iterations:65536_stddev            13.2 ns         13.2 ns            5
BM_Replace_PriorityLosing_PriceChange/65536/iterations:65536_cv                2.46 %          2.46 %             5
BM_Fok_Rejected_CrossableLevels/1/iterations:65536_mean                        6.59 ns         6.59 ns            5
BM_Fok_Rejected_CrossableLevels/1/iterations:65536_median                      6.59 ns         6.59 ns            5
BM_Fok_Rejected_CrossableLevels/1/iterations:65536_stddev                     0.039 ns        0.041 ns            5
BM_Fok_Rejected_CrossableLevels/1/iterations:65536_cv                          0.59 %          0.63 %             5
BM_Fok_Rejected_CrossableLevels/4/iterations:65536_mean                        14.6 ns         14.6 ns            5
BM_Fok_Rejected_CrossableLevels/4/iterations:65536_median                      14.6 ns         14.6 ns            5
BM_Fok_Rejected_CrossableLevels/4/iterations:65536_stddev                      1.03 ns         1.02 ns            5
BM_Fok_Rejected_CrossableLevels/4/iterations:65536_cv                          7.04 %          7.01 %             5
BM_Fok_Rejected_CrossableLevels/16/iterations:65536_mean                       43.9 ns         43.9 ns            5
BM_Fok_Rejected_CrossableLevels/16/iterations:65536_median                     43.5 ns         43.5 ns            5
BM_Fok_Rejected_CrossableLevels/16/iterations:65536_stddev                     1.81 ns         1.81 ns            5
BM_Fok_Rejected_CrossableLevels/16/iterations:65536_cv                         4.12 %          4.11 %             5
BM_Fok_Rejected_CrossableLevels/64/iterations:65536_mean                        236 ns          236 ns            5
BM_Fok_Rejected_CrossableLevels/64/iterations:65536_median                      237 ns          237 ns            5
BM_Fok_Rejected_CrossableLevels/64/iterations:65536_stddev                     2.27 ns         2.27 ns            5
BM_Fok_Rejected_CrossableLevels/64/iterations:65536_cv                         0.96 %          0.96 %             5
BM_Fok_Rejected_CrossableLevels/256/iterations:65536_mean                      1442 ns         1442 ns            5
BM_Fok_Rejected_CrossableLevels/256/iterations:65536_median                    1446 ns         1446 ns            5
BM_Fok_Rejected_CrossableLevels/256/iterations:65536_stddev                    5.77 ns         5.82 ns            5
BM_Fok_Rejected_CrossableLevels/256/iterations:65536_cv                        0.40 %          0.40 %             5
BM_Fok_Rejected_CrossableLevels/1024/iterations:62500_mean                     5706 ns         5705 ns            5
BM_Fok_Rejected_CrossableLevels/1024/iterations:62500_median                   5687 ns         5687 ns            5
BM_Fok_Rejected_CrossableLevels/1024/iterations:62500_stddev                   31.4 ns         32.1 ns            5
BM_Fok_Rejected_CrossableLevels/1024/iterations:62500_cv                       0.55 %          0.56 %             5
BM_Fok_Rejected_BackgroundDepth/0/iterations:65536_mean                        6.62 ns         6.62 ns            5
BM_Fok_Rejected_BackgroundDepth/0/iterations:65536_median                      6.51 ns         6.52 ns            5
BM_Fok_Rejected_BackgroundDepth/0/iterations:65536_stddev                     0.254 ns        0.250 ns            5
BM_Fok_Rejected_BackgroundDepth/0/iterations:65536_cv                          3.84 %          3.78 %             5
BM_Fok_Rejected_BackgroundDepth/16/iterations:65536_mean                       6.83 ns         6.84 ns            5
BM_Fok_Rejected_BackgroundDepth/16/iterations:65536_median                     6.82 ns         6.82 ns            5
BM_Fok_Rejected_BackgroundDepth/16/iterations:65536_stddev                    0.028 ns        0.036 ns            5
BM_Fok_Rejected_BackgroundDepth/16/iterations:65536_cv                         0.41 %          0.52 %             5
BM_Fok_Rejected_BackgroundDepth/256/iterations:65536_mean                      6.85 ns         6.86 ns            5
BM_Fok_Rejected_BackgroundDepth/256/iterations:65536_median                    6.85 ns         6.85 ns            5
BM_Fok_Rejected_BackgroundDepth/256/iterations:65536_stddev                   0.040 ns        0.045 ns            5
BM_Fok_Rejected_BackgroundDepth/256/iterations:65536_cv                        0.58 %          0.66 %             5
BM_Fok_Rejected_BackgroundDepth/4096/iterations:15621_mean                     6.93 ns         6.94 ns            5
BM_Fok_Rejected_BackgroundDepth/4096/iterations:15621_median                   6.92 ns         6.91 ns            5
BM_Fok_Rejected_BackgroundDepth/4096/iterations:15621_stddev                  0.017 ns        0.035 ns            5
BM_Fok_Rejected_BackgroundDepth/4096/iterations:15621_cv                       0.24 %          0.51 %             5
BM_Fok_Rejected_BackgroundDepth/65536/iterations:976_mean                      10.6 ns         10.0 ns            5
BM_Fok_Rejected_BackgroundDepth/65536/iterations:976_median                    9.82 ns         9.22 ns            5
BM_Fok_Rejected_BackgroundDepth/65536/iterations:976_stddev                    1.77 ns         1.83 ns            5
BM_Fok_Rejected_BackgroundDepth/65536/iterations:976_cv                       16.74 %         18.25 %             5
BM_Fok_Executed/1/iterations:8000_mean                                         45.3 ns         45.2 ns            5 items_per_second=22.102M/s
BM_Fok_Executed/1/iterations:8000_median                                       45.3 ns         45.4 ns            5 items_per_second=22.0386M/s
BM_Fok_Executed/1/iterations:8000_stddev                                      0.491 ns        0.545 ns            5 items_per_second=266.499k/s
BM_Fok_Executed/1/iterations:8000_cv                                           1.08 %          1.20 %             5 items_per_second=1.21%
BM_Fok_Executed/4/iterations:4000_mean                                          148 ns          148 ns            5 items_per_second=26.9745M/s
BM_Fok_Executed/4/iterations:4000_median                                        148 ns          147 ns            5 items_per_second=27.1186M/s
BM_Fok_Executed/4/iterations:4000_stddev                                       1.46 ns         1.47 ns            5 items_per_second=266.777k/s
BM_Fok_Executed/4/iterations:4000_cv                                           0.98 %          0.99 %             5 items_per_second=0.99%
BM_Fok_Executed/16/iterations:2000_mean                                         570 ns          570 ns            5 items_per_second=28.0802M/s
BM_Fok_Executed/16/iterations:2000_median                                       570 ns          570 ns            5 items_per_second=28.0702M/s
BM_Fok_Executed/16/iterations:2000_stddev                                      1.13 ns         1.35 ns            5 items_per_second=66.5922k/s
BM_Fok_Executed/16/iterations:2000_cv                                          0.20 %          0.24 %             5 items_per_second=0.24%
BM_Fok_Executed/64/iterations:1000_mean                                        2399 ns         2398 ns            5 items_per_second=26.6845M/s
BM_Fok_Executed/64/iterations:1000_median                                      2399 ns         2398 ns            5 items_per_second=26.6889M/s
BM_Fok_Executed/64/iterations:1000_stddev                                      2.94 ns         3.05 ns            5 items_per_second=33.9254k/s
BM_Fok_Executed/64/iterations:1000_cv                                          0.12 %          0.13 %             5 items_per_second=0.13%
BM_Fok_Executed/256/iterations:500_mean                                       10083 ns        10082 ns            5 items_per_second=25.3915M/s
BM_Fok_Executed/256/iterations:500_median                                     10115 ns        10116 ns            5 items_per_second=25.3064M/s
BM_Fok_Executed/256/iterations:500_stddev                                      58.7 ns         59.5 ns            5 items_per_second=150.645k/s
BM_Fok_Executed/256/iterations:500_cv                                          0.58 %          0.59 %             5 items_per_second=0.59%
BM_Fok_Executed/1024/iterations:256_mean                                      44637 ns        44635 ns            5 items_per_second=22.9467M/s
BM_Fok_Executed/1024/iterations:256_median                                    44668 ns        44668 ns            5 items_per_second=22.9247M/s
BM_Fok_Executed/1024/iterations:256_stddev                                      747 ns          748 ns            5 items_per_second=380.928k/s
BM_Fok_Executed/1024/iterations:256_cv                                         1.67 %          1.67 %             5 items_per_second=1.66%
