Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-19T20:15:57+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 5.48, 4.31, 5.25
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
BM_Cancel/65536/iterations:65536_stddev                                        2.39 ns         2.36 ns            5
BM_Cancel/65536/iterations:65536_cv                                            1.67 %          1.65 %             5
BM_Replace_PriorityPreserving/1/iterations:65536_mean                          51.3 ns         50.9 ns            5
BM_Replace_PriorityPreserving/1/iterations:65536_median                        50.9 ns         50.9 ns            5
BM_Replace_PriorityPreserving/1/iterations:65536_stddev                        2.11 ns         1.38 ns            5
BM_Replace_PriorityPreserving/1/iterations:65536_cv                            4.11 %          2.72 %             5
BM_Replace_PriorityPreserving/16/iterations:65536_mean                         51.8 ns         51.7 ns            5
BM_Replace_PriorityPreserving/16/iterations:65536_median                       52.3 ns         52.0 ns            5
BM_Replace_PriorityPreserving/16/iterations:65536_stddev                      0.923 ns        0.794 ns            5
BM_Replace_PriorityPreserving/16/iterations:65536_cv                           1.78 %          1.54 %             5
BM_Replace_PriorityPreserving/256/iterations:65536_mean                        53.0 ns         53.0 ns            5
BM_Replace_PriorityPreserving/256/iterations:65536_median                      52.5 ns         52.5 ns            5
BM_Replace_PriorityPreserving/256/iterations:65536_stddev                      1.31 ns         1.18 ns            5
BM_Replace_PriorityPreserving/256/iterations:65536_cv                          2.47 %          2.23 %             5
BM_Replace_PriorityPreserving/4096/iterations:65536_mean                       52.4 ns         52.1 ns            5
BM_Replace_PriorityPreserving/4096/iterations:65536_median                     52.6 ns         52.6 ns            5
BM_Replace_PriorityPreserving/4096/iterations:65536_stddev                     1.53 ns         1.26 ns            5
BM_Replace_PriorityPreserving/4096/iterations:65536_cv                         2.92 %          2.41 %             5
BM_Replace_PriorityPreserving/65536/iterations:65536_mean                      52.6 ns         52.5 ns            5
BM_Replace_PriorityPreserving/65536/iterations:65536_median                    52.3 ns         52.3 ns            5
BM_Replace_PriorityPreserving/65536/iterations:65536_stddev                   0.456 ns        0.383 ns            5
BM_Replace_PriorityPreserving/65536/iterations:65536_cv                        0.87 %          0.73 %             5
BM_Replace_PriorityLosing_QuantityIncrease/1/iterations:65536_mean              185 ns          184 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/1/iterations:65536_median            185 ns          184 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/1/iterations:65536_stddev           2.05 ns         2.03 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/1/iterations:65536_cv               1.11 %          1.11 %             5
BM_Replace_PriorityLosing_QuantityIncrease/16/iterations:65536_mean             230 ns          229 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/16/iterations:65536_median           230 ns          229 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/16/iterations:65536_stddev         0.601 ns        0.581 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/16/iterations:65536_cv              0.26 %          0.25 %             5
BM_Replace_PriorityLosing_QuantityIncrease/256/iterations:65536_mean            256 ns          255 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/256/iterations:65536_median          256 ns          256 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/256/iterations:65536_stddev         1.92 ns         1.72 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/256/iterations:65536_cv             0.75 %          0.67 %             5
BM_Replace_PriorityLosing_QuantityIncrease/4096/iterations:65536_mean           295 ns          295 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/4096/iterations:65536_median         295 ns          295 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/4096/iterations:65536_stddev        1.29 ns         1.44 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/4096/iterations:65536_cv            0.44 %          0.49 %             5
BM_Replace_PriorityLosing_QuantityIncrease/65536/iterations:65536_mean          574 ns          573 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/65536/iterations:65536_median        586 ns          584 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/65536/iterations:65536_stddev       31.9 ns         31.5 ns            5
