Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-19T22:22:54+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 8.58, 7.08, 5.49
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
BM_Fok_Rejected_CrossableLevels/64/iterations:65536_mean                        235 ns          235 ns            5
BM_Fok_Rejected_CrossableLevels/64/iterations:65536_median                      235 ns          235 ns            5
BM_Fok_Rejected_CrossableLevels/64/iterations:65536_stddev                    0.990 ns        0.761 ns            5
BM_Fok_Rejected_CrossableLevels/64/iterations:65536_cv                         0.42 %          0.32 %             5
BM_Fok_Rejected_CrossableLevels/256/iterations:65536_mean                      1244 ns         1242 ns            5
BM_Fok_Rejected_CrossableLevels/256/iterations:65536_median                    1245 ns         1243 ns            5
BM_Fok_Rejected_CrossableLevels/256/iterations:65536_stddev                    3.61 ns         3.50 ns            5
BM_Fok_Rejected_CrossableLevels/256/iterations:65536_cv                        0.29 %          0.28 %             5
BM_Fok_Rejected_CrossableLevels/1024/iterations:62500_mean                     5866 ns         5856 ns            5
BM_Fok_Rejected_CrossableLevels/1024/iterations:62500_median                   5863 ns         5856 ns            5
BM_Fok_Rejected_CrossableLevels/1024/iterations:62500_stddev                   9.43 ns         7.69 ns            5
BM_Fok_Rejected_CrossableLevels/1024/iterations:62500_cv                       0.16 %          0.13 %             5
BM_Fok_Rejected_BackgroundDepth/0/iterations:65536_mean                        7.94 ns         7.94 ns            5
BM_Fok_Rejected_BackgroundDepth/0/iterations:65536_median                      7.96 ns         7.95 ns            5
BM_Fok_Rejected_BackgroundDepth/0/iterations:65536_stddev                     0.064 ns        0.063 ns            5
BM_Fok_Rejected_BackgroundDepth/0/iterations:65536_cv                          0.80 %          0.80 %             5
BM_Fok_Rejected_BackgroundDepth/16/iterations:65536_mean                       8.26 ns         8.26 ns            5
BM_Fok_Rejected_BackgroundDepth/16/iterations:65536_median                     8.23 ns         8.24 ns            5
BM_Fok_Rejected_BackgroundDepth/16/iterations:65536_stddev                    0.054 ns        0.052 ns            5
BM_Fok_Rejected_BackgroundDepth/16/iterations:65536_cv                         0.65 %          0.63 %             5
BM_Fok_Rejected_BackgroundDepth/256/iterations:65536_mean                      8.21 ns         8.21 ns            5
BM_Fok_Rejected_BackgroundDepth/256/iterations:65536_median                    8.21 ns         8.21 ns            5
BM_Fok_Rejected_BackgroundDepth/256/iterations:65536_stddev                   0.004 ns        0.007 ns            5
BM_Fok_Rejected_BackgroundDepth/256/iterations:65536_cv                        0.04 %          0.08 %             5
BM_Fok_Rejected_BackgroundDepth/4096/iterations:15621_mean                     8.35 ns         8.35 ns            5
BM_Fok_Rejected_BackgroundDepth/4096/iterations:15621_median                   8.33 ns         8.32 ns            5
BM_Fok_Rejected_BackgroundDepth/4096/iterations:15621_stddev                  0.079 ns        0.097 ns            5
BM_Fok_Rejected_BackgroundDepth/4096/iterations:15621_cv                       0.95 %          1.16 %             5
BM_Fok_Rejected_BackgroundDepth/65536/iterations:976_mean                      12.7 ns         12.5 ns            5
BM_Fok_Rejected_BackgroundDepth/65536/iterations:976_median                    12.8 ns         12.3 ns            5
BM_Fok_Rejected_BackgroundDepth/65536/iterations:976_stddev                   0.524 ns        0.458 ns            5
BM_Fok_Rejected_BackgroundDepth/65536/iterations:976_cv                        4.13 %          3.67 %             5
BM_Fok_Executed/1/iterations:8000_mean                                         58.6 ns         58.6 ns            5 items_per_second=17.0887M/s
BM_Fok_Executed/1/iterations:8000_median                                       58.2 ns         58.3 ns            5 items_per_second=17.1674M/s
BM_Fok_Executed/1/iterations:8000_stddev                                       1.58 ns         1.54 ns            5 items_per_second=439.645k/s
BM_Fok_Executed/1/iterations:8000_cv                                           2.70 %          2.63 %             5 items_per_second=2.57%
BM_Fok_Executed/4/iterations:4000_mean                                          191 ns          191 ns            5 items_per_second=20.8953M/s
BM_Fok_Executed/4/iterations:4000_median                                        190 ns          190 ns            5 items_per_second=21.025M/s
BM_Fok_Executed/4/iterations:4000_stddev                                       2.25 ns         2.15 ns            5 items_per_second=233.218k/s
BM_Fok_Executed/4/iterations:4000_cv                                           1.18 %          1.12 %             5 items_per_second=1.12%
BM_Fok_Executed/16/iterations:2000_mean                                         740 ns          740 ns            5 items_per_second=21.6312M/s
BM_Fok_Executed/16/iterations:2000_median                                       737 ns          737 ns            5 items_per_second=21.6949M/s
BM_Fok_Executed/16/iterations:2000_stddev                                      5.03 ns         5.01 ns            5 items_per_second=145.967k/s
BM_Fok_Executed/16/iterations:2000_cv                                          0.68 %          0.68 %             5 items_per_second=0.67%
BM_Fok_Executed/64/iterations:1000_mean                                        3107 ns         3100 ns            5 items_per_second=20.649M/s
BM_Fok_Executed/64/iterations:1000_median                                      3101 ns         3101 ns            5 items_per_second=20.6385M/s
BM_Fok_Executed/64/iterations:1000_stddev                                      34.1 ns         26.1 ns            5 items_per_second=174.531k/s
BM_Fok_Executed/64/iterations:1000_cv                                          1.10 %          0.84 %             5 items_per_second=0.85%
BM_Fok_Executed/256/iterations:500_mean                                       12668 ns        12620 ns            5 items_per_second=20.2856M/s
BM_Fok_Executed/256/iterations:500_median                                     12714 ns        12658 ns            5 items_per_second=20.2244M/s
BM_Fok_Executed/256/iterations:500_stddev                                       130 ns         97.0 ns            5 items_per_second=156.661k/s
BM_Fok_Executed/256/iterations:500_cv                                          1.03 %          0.77 %             5 items_per_second=0.77%
BM_Fok_Executed/1024/iterations:256_mean                                      54370 ns        54200 ns            5 items_per_second=18.8935M/s
BM_Fok_Executed/1024/iterations:256_median                                    54218 ns        54043 ns            5 items_per_second=18.9479M/s
BM_Fok_Executed/1024/iterations:256_stddev                                      350 ns          312 ns            5 items_per_second=108.404k/s
BM_Fok_Executed/1024/iterations:256_cv                                         0.64 %          0.57 %             5 items_per_second=0.57%
