Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-19T21:37:18+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 4.39, 3.78, 3.28
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
BM_Replace_PriorityLosing_QuantityIncrease/65536/iterations:65536_median        676 ns          675 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/65536/iterations:65536_stddev       8.96 ns         8.74 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/65536/iterations:65536_cv           1.33 %          1.30 %             5
BM_Replace_PriorityLosing_PriceChange/1/iterations:65536_mean                  79.6 ns         79.5 ns            5
BM_Replace_PriorityLosing_PriceChange/1/iterations:65536_median                79.6 ns         79.4 ns            5
BM_Replace_PriorityLosing_PriceChange/1/iterations:65536_stddev                1.28 ns         1.20 ns            5
BM_Replace_PriorityLosing_PriceChange/1/iterations:65536_cv                    1.61 %          1.50 %             5
BM_Replace_PriorityLosing_PriceChange/16/iterations:65536_mean                  108 ns          107 ns            5
BM_Replace_PriorityLosing_PriceChange/16/iterations:65536_median                107 ns          107 ns            5
BM_Replace_PriorityLosing_PriceChange/16/iterations:65536_stddev               1.41 ns         1.26 ns            5
BM_Replace_PriorityLosing_PriceChange/16/iterations:65536_cv                   1.31 %          1.18 %             5
BM_Replace_PriorityLosing_PriceChange/256/iterations:65536_mean                 162 ns          162 ns            5
BM_Replace_PriorityLosing_PriceChange/256/iterations:65536_median               161 ns          161 ns            5
BM_Replace_PriorityLosing_PriceChange/256/iterations:65536_stddev              1.84 ns         1.76 ns            5
BM_Replace_PriorityLosing_PriceChange/256/iterations:65536_cv                  1.14 %          1.09 %             5
BM_Replace_PriorityLosing_PriceChange/4096/iterations:65536_mean                214 ns          213 ns            5
BM_Replace_PriorityLosing_PriceChange/4096/iterations:65536_median              213 ns          213 ns            5
BM_Replace_PriorityLosing_PriceChange/4096/iterations:65536_stddev             1.35 ns        0.974 ns            5
BM_Replace_PriorityLosing_PriceChange/4096/iterations:65536_cv                 0.63 %          0.46 %             5
BM_Replace_PriorityLosing_PriceChange/65536/iterations:65536_mean               667 ns          667 ns            5
BM_Replace_PriorityLosing_PriceChange/65536/iterations:65536_median             668 ns          668 ns            5
BM_Replace_PriorityLosing_PriceChange/65536/iterations:65536_stddev            4.33 ns         4.19 ns            5
BM_Replace_PriorityLosing_PriceChange/65536/iterations:65536_cv                0.65 %          0.63 %             5
BM_Fok_Rejected_CrossableLevels/1/iterations:65536_mean                        7.93 ns         7.93 ns            5
BM_Fok_Rejected_CrossableLevels/1/iterations:65536_median                      7.92 ns         7.92 ns            5
BM_Fok_Rejected_CrossableLevels/1/iterations:65536_stddev                     0.036 ns        0.035 ns            5
BM_Fok_Rejected_CrossableLevels/1/iterations:65536_cv                          0.45 %          0.44 %             5
BM_Fok_Rejected_CrossableLevels/4/iterations:65536_mean                        14.5 ns         14.5 ns            5
BM_Fok_Rejected_CrossableLevels/4/iterations:65536_median                      14.0 ns         14.0 ns            5
BM_Fok_Rejected_CrossableLevels/4/iterations:65536_stddev                     0.760 ns        0.762 ns            5
BM_Fok_Rejected_CrossableLevels/4/iterations:65536_cv                          5.24 %          5.25 %             5
BM_Fok_Rejected_CrossableLevels/16/iterations:65536_mean                       47.0 ns         47.0 ns            5
BM_Fok_Rejected_CrossableLevels/16/iterations:65536_median                     46.8 ns         46.8 ns            5
BM_Fok_Rejected_CrossableLevels/16/iterations:65536_stddev                    0.760 ns        0.736 ns            5
BM_Fok_Rejected_CrossableLevels/16/iterations:65536_cv                         1.62 %          1.57 %             5
BM_Fok_Rejected_CrossableLevels/64/iterations:65536_mean                        209 ns          208 ns            5
BM_Fok_Rejected_CrossableLevels/64/iterations:65536_median                      208 ns          208 ns            5
BM_Fok_Rejected_CrossableLevels/64/iterations:65536_stddev                    0.984 ns        0.774 ns            5
BM_Fok_Rejected_CrossableLevels/64/iterations:65536_cv                         0.47 %          0.37 %             5
BM_Fok_Rejected_CrossableLevels/256/iterations:65536_mean                       937 ns          936 ns            5
BM_Fok_Rejected_CrossableLevels/256/iterations:65536_median                     937 ns          935 ns            5
BM_Fok_Rejected_CrossableLevels/256/iterations:65536_stddev                    3.01 ns         2.45 ns            5
BM_Fok_Rejected_CrossableLevels/256/iterations:65536_cv                        0.32 %          0.26 %             5
BM_Fok_Rejected_CrossableLevels/1024/iterations:62500_mean                     7152 ns         7143 ns            5
BM_Fok_Rejected_CrossableLevels/1024/iterations:62500_median                   7148 ns         7139 ns            5
BM_Fok_Rejected_CrossableLevels/1024/iterations:62500_stddev                   13.9 ns         14.0 ns            5
BM_Fok_Rejected_CrossableLevels/1024/iterations:62500_cv                       0.19 %          0.20 %             5
BM_Fok_Rejected_BackgroundDepth/0/iterations:65536_mean                        7.88 ns         7.88 ns            5
BM_Fok_Rejected_BackgroundDepth/0/iterations:65536_median                      7.88 ns         7.89 ns            5
BM_Fok_Rejected_BackgroundDepth/0/iterations:65536_stddev                     0.022 ns        0.026 ns            5
BM_Fok_Rejected_BackgroundDepth/0/iterations:65536_cv                          0.28 %          0.32 %             5
BM_Fok_Rejected_BackgroundDepth/16/iterations:65536_mean                       8.31 ns         8.28 ns            5
BM_Fok_Rejected_BackgroundDepth/16/iterations:65536_median                     8.27 ns         8.27 ns            5
BM_Fok_Rejected_BackgroundDepth/16/iterations:65536_stddev                    0.145 ns        0.086 ns            5
BM_Fok_Rejected_BackgroundDepth/16/iterations:65536_cv                         1.75 %          1.04 %             5
BM_Fok_Rejected_BackgroundDepth/256/iterations:65536_mean                      8.33 ns         8.33 ns            5
BM_Fok_Rejected_BackgroundDepth/256/iterations:65536_median                    8.27 ns         8.27 ns            5
BM_Fok_Rejected_BackgroundDepth/256/iterations:65536_stddev                   0.143 ns        0.140 ns            5
BM_Fok_Rejected_BackgroundDepth/256/iterations:65536_cv                        1.71 %          1.68 %             5
BM_Fok_Rejected_BackgroundDepth/4096/iterations:15621_mean                     8.31 ns         8.32 ns            5
BM_Fok_Rejected_BackgroundDepth/4096/iterations:15621_median                   8.28 ns         8.32 ns            5
BM_Fok_Rejected_BackgroundDepth/4096/iterations:15621_stddev                  0.086 ns        0.078 ns            5
BM_Fok_Rejected_BackgroundDepth/4096/iterations:15621_cv                       1.03 %          0.94 %             5
BM_Fok_Rejected_BackgroundDepth/65536/iterations:976_mean                      12.7 ns         12.5 ns            5
BM_Fok_Rejected_BackgroundDepth/65536/iterations:976_median                    13.0 ns         12.3 ns            5
BM_Fok_Rejected_BackgroundDepth/65536/iterations:976_stddev                   0.724 ns        0.857 ns            5
BM_Fok_Rejected_BackgroundDepth/65536/iterations:976_cv                        5.68 %          6.86 %             5
BM_Fok_Executed/1/iterations:8000_mean                                         57.6 ns         57.6 ns            5 items_per_second=17.3708M/s
BM_Fok_Executed/1/iterations:8000_median                                       57.5 ns         57.5 ns            5 items_per_second=17.3913M/s
