Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-19T21:35:00+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 4.05, 3.37, 3.07
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
BM_Fok_Rejected_CrossableLevels/64/iterations:65536_median                      209 ns          209 ns            5
BM_Fok_Rejected_CrossableLevels/64/iterations:65536_stddev                     1.02 ns        0.818 ns            5
BM_Fok_Rejected_CrossableLevels/64/iterations:65536_cv                         0.49 %          0.39 %             5
BM_Fok_Rejected_CrossableLevels/256/iterations:65536_mean                       934 ns          932 ns            5
BM_Fok_Rejected_CrossableLevels/256/iterations:65536_median                     934 ns          932 ns            5
BM_Fok_Rejected_CrossableLevels/256/iterations:65536_stddev                   0.769 ns        0.731 ns            5
BM_Fok_Rejected_CrossableLevels/256/iterations:65536_cv                        0.08 %          0.08 %             5
BM_Fok_Rejected_CrossableLevels/1024/iterations:62500_mean                     7231 ns         7222 ns            5
BM_Fok_Rejected_CrossableLevels/1024/iterations:62500_median                   7231 ns         7222 ns            5
BM_Fok_Rejected_CrossableLevels/1024/iterations:62500_stddev                   8.39 ns         7.45 ns            5
BM_Fok_Rejected_CrossableLevels/1024/iterations:62500_cv                       0.12 %          0.10 %             5
BM_Fok_Rejected_BackgroundDepth/0/iterations:65536_mean                        7.89 ns         7.89 ns            5
BM_Fok_Rejected_BackgroundDepth/0/iterations:65536_median                      7.87 ns         7.87 ns            5
BM_Fok_Rejected_BackgroundDepth/0/iterations:65536_stddev                     0.040 ns        0.034 ns            5
BM_Fok_Rejected_BackgroundDepth/0/iterations:65536_cv                          0.51 %          0.43 %             5
BM_Fok_Rejected_BackgroundDepth/16/iterations:65536_mean                       8.34 ns         8.31 ns            5
BM_Fok_Rejected_BackgroundDepth/16/iterations:65536_median                     8.23 ns         8.24 ns            5
BM_Fok_Rejected_BackgroundDepth/16/iterations:65536_stddev                    0.197 ns        0.126 ns            5
BM_Fok_Rejected_BackgroundDepth/16/iterations:65536_cv                         2.36 %          1.52 %             5
BM_Fok_Rejected_BackgroundDepth/256/iterations:65536_mean                      8.25 ns         8.25 ns            5
BM_Fok_Rejected_BackgroundDepth/256/iterations:65536_median                    8.24 ns         8.24 ns            5
BM_Fok_Rejected_BackgroundDepth/256/iterations:65536_stddev                   0.027 ns        0.028 ns            5
BM_Fok_Rejected_BackgroundDepth/256/iterations:65536_cv                        0.33 %          0.34 %             5
BM_Fok_Rejected_BackgroundDepth/4096/iterations:15621_mean                     8.31 ns         8.28 ns            5
BM_Fok_Rejected_BackgroundDepth/4096/iterations:15621_median                   8.28 ns         8.26 ns            5
BM_Fok_Rejected_BackgroundDepth/4096/iterations:15621_stddev                  0.076 ns        0.107 ns            5
BM_Fok_Rejected_BackgroundDepth/4096/iterations:15621_cv                       0.92 %          1.29 %             5
BM_Fok_Rejected_BackgroundDepth/65536/iterations:976_mean                      13.0 ns         12.9 ns            5
BM_Fok_Rejected_BackgroundDepth/65536/iterations:976_median                    12.6 ns         13.3 ns            5
BM_Fok_Rejected_BackgroundDepth/65536/iterations:976_stddev                   0.968 ns         1.17 ns            5
BM_Fok_Rejected_BackgroundDepth/65536/iterations:976_cv                        7.46 %          9.05 %             5
BM_Fok_Executed/1/iterations:8000_mean                                         57.7 ns         57.7 ns            5 items_per_second=17.3464M/s
BM_Fok_Executed/1/iterations:8000_median                                       57.5 ns         57.5 ns            5 items_per_second=17.3913M/s
BM_Fok_Executed/1/iterations:8000_stddev                                      0.319 ns        0.298 ns            5 items_per_second=89.4467k/s
BM_Fok_Executed/1/iterations:8000_cv                                           0.55 %          0.52 %             5 items_per_second=0.52%
BM_Fok_Executed/4/iterations:4000_mean                                          189 ns          189 ns            5 items_per_second=21.2105M/s
BM_Fok_Executed/4/iterations:4000_median                                        188 ns          188 ns            5 items_per_second=21.2202M/s
BM_Fok_Executed/4/iterations:4000_stddev                                       1.81 ns         1.85 ns            5 items_per_second=208.421k/s
BM_Fok_Executed/4/iterations:4000_cv                                           0.96 %          0.98 %             5 items_per_second=0.98%
BM_Fok_Executed/16/iterations:2000_mean                                         756 ns          756 ns            5 items_per_second=21.1591M/s
BM_Fok_Executed/16/iterations:2000_median                                       757 ns          757 ns            5 items_per_second=21.1361M/s
BM_Fok_Executed/16/iterations:2000_stddev                                      10.9 ns         10.8 ns            5 items_per_second=302.14k/s
BM_Fok_Executed/16/iterations:2000_cv                                          1.44 %          1.42 %             5 items_per_second=1.43%
BM_Fok_Executed/64/iterations:1000_mean                                        3152 ns         3145 ns            5 items_per_second=20.3562M/s
