Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-20T10:52:37+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 6.08, 6.35, 6.28
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
BM_Cancel/4096/iterations:65536_stddev                                         3.24 ns         3.31 ns            5
BM_Cancel/4096/iterations:65536_cv                                             4.60 %          4.71 %             5
BM_Cancel/65536/iterations:65536_mean                                          77.4 ns         77.3 ns            5
BM_Cancel/65536/iterations:65536_median                                        77.1 ns         77.1 ns            5
BM_Cancel/65536/iterations:65536_stddev                                       0.617 ns        0.607 ns            5
BM_Cancel/65536/iterations:65536_cv                                            0.80 %          0.79 %             5
BM_Replace_PriorityPreserving/1/iterations:65536_mean                          21.5 ns         21.4 ns            5
BM_Replace_PriorityPreserving/1/iterations:65536_median                        21.4 ns         21.4 ns            5
BM_Replace_PriorityPreserving/1/iterations:65536_stddev                       0.180 ns        0.075 ns            5
BM_Replace_PriorityPreserving/1/iterations:65536_cv                            0.84 %          0.35 %             5
BM_Replace_PriorityPreserving/16/iterations:65536_mean                         22.6 ns         22.5 ns            5
BM_Replace_PriorityPreserving/16/iterations:65536_median                       22.0 ns         22.0 ns            5
BM_Replace_PriorityPreserving/16/iterations:65536_stddev                      0.921 ns        0.820 ns            5
BM_Replace_PriorityPreserving/16/iterations:65536_cv                           4.07 %          3.64 %             5
BM_Replace_PriorityPreserving/256/iterations:65536_mean                        22.5 ns         22.5 ns            5
BM_Replace_PriorityPreserving/256/iterations:65536_median                      22.7 ns         22.5 ns            5
BM_Replace_PriorityPreserving/256/iterations:65536_stddev                     0.523 ns        0.520 ns            5
BM_Replace_PriorityPreserving/256/iterations:65536_cv                          2.32 %          2.31 %             5
BM_Replace_PriorityPreserving/4096/iterations:65536_mean                       25.5 ns         25.5 ns            5
BM_Replace_PriorityPreserving/4096/iterations:65536_median                     25.6 ns         25.5 ns            5
BM_Replace_PriorityPreserving/4096/iterations:65536_stddev                    0.478 ns        0.478 ns            5
BM_Replace_PriorityPreserving/4096/iterations:65536_cv                         1.88 %          1.88 %             5
BM_Replace_PriorityPreserving/65536/iterations:65536_mean                      25.6 ns         25.5 ns            5
BM_Replace_PriorityPreserving/65536/iterations:65536_median                    25.5 ns         25.5 ns            5
BM_Replace_PriorityPreserving/65536/iterations:65536_stddev                   0.390 ns        0.385 ns            5
BM_Replace_PriorityPreserving/65536/iterations:65536_cv                        1.53 %          1.51 %             5
BM_Replace_PriorityLosing_QuantityIncrease/1/iterations:65536_mean             47.5 ns         47.4 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/1/iterations:65536_median           47.1 ns         47.1 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/1/iterations:65536_stddev          0.797 ns        0.610 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/1/iterations:65536_cv               1.68 %          1.29 %             5
BM_Replace_PriorityLosing_QuantityIncrease/16/iterations:65536_mean            69.7 ns         69.5 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/16/iterations:65536_median          69.8 ns         69.5 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/16/iterations:65536_stddev         0.697 ns        0.617 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/16/iterations:65536_cv              1.00 %          0.89 %             5
