Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-19T20:38:14+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 3.85, 4.10, 4.70
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
BM_Fok_Rejected_CrossableLevels/1024/iterations:62500_cv                       0.21 %          0.21 %             5
BM_Fok_Rejected_BackgroundDepth/0/iterations:65536_mean                        8.04 ns         8.04 ns            5
BM_Fok_Rejected_BackgroundDepth/0/iterations:65536_median                      7.99 ns         7.98 ns            5
BM_Fok_Rejected_BackgroundDepth/0/iterations:65536_stddev                     0.084 ns        0.087 ns            5
BM_Fok_Rejected_BackgroundDepth/0/iterations:65536_cv                          1.04 %          1.08 %             5
BM_Fok_Rejected_BackgroundDepth/16/iterations:65536_mean                       8.60 ns         8.57 ns            5
BM_Fok_Rejected_BackgroundDepth/16/iterations:65536_median                     8.48 ns         8.47 ns            5
BM_Fok_Rejected_BackgroundDepth/16/iterations:65536_stddev                    0.262 ns        0.193 ns            5
BM_Fok_Rejected_BackgroundDepth/16/iterations:65536_cv                         3.04 %          2.25 %             5
BM_Fok_Rejected_BackgroundDepth/256/iterations:65536_mean                      8.74 ns         8.73 ns            5
BM_Fok_Rejected_BackgroundDepth/256/iterations:65536_median                    8.54 ns         8.54 ns            5
BM_Fok_Rejected_BackgroundDepth/256/iterations:65536_stddev                   0.427 ns        0.420 ns            5
BM_Fok_Rejected_BackgroundDepth/256/iterations:65536_cv                        4.88 %          4.81 %             5
BM_Fok_Rejected_BackgroundDepth/4096/iterations:15621_mean                     8.54 ns         8.54 ns            5
BM_Fok_Rejected_BackgroundDepth/4096/iterations:15621_median                   8.53 ns         8.51 ns            5
BM_Fok_Rejected_BackgroundDepth/4096/iterations:15621_stddev                  0.029 ns        0.057 ns            5
BM_Fok_Rejected_BackgroundDepth/4096/iterations:15621_cv                       0.34 %          0.67 %             5
BM_Fok_Rejected_BackgroundDepth/65536/iterations:976_mean                      12.8 ns         12.9 ns            5
BM_Fok_Rejected_BackgroundDepth/65536/iterations:976_median                    12.6 ns         13.3 ns            5
BM_Fok_Rejected_BackgroundDepth/65536/iterations:976_stddev                   0.937 ns        0.561 ns            5
BM_Fok_Rejected_BackgroundDepth/65536/iterations:976_cv                        7.29 %          4.35 %             5
BM_Fok_Executed/1/iterations:8000_mean                                         56.6 ns         56.6 ns            5 items_per_second=17.6762M/s
BM_Fok_Executed/1/iterations:8000_median                                       56.6 ns         56.6 ns            5 items_per_second=17.66M/s
BM_Fok_Executed/1/iterations:8000_stddev                                      0.294 ns        0.360 ns            5 items_per_second=112.957k/s
BM_Fok_Executed/1/iterations:8000_cv                                           0.52 %          0.64 %             5 items_per_second=0.64%
BM_Fok_Executed/4/iterations:4000_mean                                          186 ns          186 ns            5 items_per_second=21.5148M/s
BM_Fok_Executed/4/iterations:4000_median                                        185 ns          185 ns            5 items_per_second=21.6509M/s
BM_Fok_Executed/4/iterations:4000_stddev                                       2.81 ns         2.71 ns            5 items_per_second=312.493k/s
BM_Fok_Executed/4/iterations:4000_cv                                           1.51 %          1.46 %             5 items_per_second=1.45%
BM_Fok_Executed/16/iterations:2000_mean                                         754 ns          754 ns            5 items_per_second=21.2425M/s
BM_Fok_Executed/16/iterations:2000_median                                       753 ns          753 ns            5 items_per_second=21.2483M/s
BM_Fok_Executed/16/iterations:2000_stddev                                      17.4 ns         16.6 ns            5 items_per_second=467.614k/s
BM_Fok_Executed/16/iterations:2000_cv                                          2.31 %          2.20 %             5 items_per_second=2.20%
BM_Fok_Executed/64/iterations:1000_mean                                        3182 ns         3167 ns            5 items_per_second=20.215M/s
BM_Fok_Executed/64/iterations:1000_median                                      3189 ns         3178 ns            5 items_per_second=20.1385M/s
BM_Fok_Executed/64/iterations:1000_stddev                                      67.8 ns         57.4 ns            5 items_per_second=366.927k/s
BM_Fok_Executed/64/iterations:1000_cv                                          2.13 %          1.81 %             5 items_per_second=1.82%
BM_Fok_Executed/256/iterations:500_mean                                       13115 ns        13090 ns            5 items_per_second=19.5603M/s
BM_Fok_Executed/256/iterations:500_median                                     13100 ns        13036 ns            5 items_per_second=19.6379M/s
BM_Fok_Executed/256/iterations:500_stddev                                       170 ns          174 ns            5 items_per_second=258.482k/s
BM_Fok_Executed/256/iterations:500_cv                                          1.30 %          1.33 %             5 items_per_second=1.32%
BM_Fok_Executed/1024/iterations:256_mean                                      56364 ns        55345 ns            5 items_per_second=18.5267M/s
BM_Fok_Executed/1024/iterations:256_median                                    54640 ns        54566 ns            5 items_per_second=18.7661M/s
BM_Fok_Executed/1024/iterations:256_stddev                                     4413 ns         2307 ns            5 items_per_second=733.771k/s
BM_Fok_Executed/1024/iterations:256_cv                                         7.83 %          4.17 %             5 items_per_second=3.96%
