Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-20T03:05:00+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 3.56, 4.19, 4.46
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
BM_Replace_PriorityLosing_PriceChange/4096/iterations:65536_cv                 0.69 %          0.68 %             5
BM_Replace_PriorityLosing_PriceChange/65536/iterations:65536_mean               459 ns          459 ns            5
BM_Replace_PriorityLosing_PriceChange/65536/iterations:65536_median             458 ns          457 ns            5
BM_Replace_PriorityLosing_PriceChange/65536/iterations:65536_stddev            4.45 ns         4.60 ns            5
BM_Replace_PriorityLosing_PriceChange/65536/iterations:65536_cv                0.97 %          1.00 %             5
BM_Fok_Rejected_CrossableLevels/1/iterations:65536_mean                        6.54 ns         6.54 ns            5
BM_Fok_Rejected_CrossableLevels/1/iterations:65536_median                      6.54 ns         6.55 ns            5
BM_Fok_Rejected_CrossableLevels/1/iterations:65536_stddev                     0.034 ns        0.038 ns            5
BM_Fok_Rejected_CrossableLevels/1/iterations:65536_cv                          0.51 %          0.59 %             5
BM_Fok_Rejected_CrossableLevels/4/iterations:65536_mean                        13.3 ns         13.3 ns            5
BM_Fok_Rejected_CrossableLevels/4/iterations:65536_median                      13.2 ns         13.2 ns            5
BM_Fok_Rejected_CrossableLevels/4/iterations:65536_stddev                     0.668 ns        0.670 ns            5
BM_Fok_Rejected_CrossableLevels/4/iterations:65536_cv                          5.04 %          5.05 %             5
BM_Fok_Rejected_CrossableLevels/16/iterations:65536_mean                       45.8 ns         45.7 ns            5
BM_Fok_Rejected_CrossableLevels/16/iterations:65536_median                     45.5 ns         45.4 ns            5
BM_Fok_Rejected_CrossableLevels/16/iterations:65536_stddev                    0.905 ns        0.761 ns            5
BM_Fok_Rejected_CrossableLevels/16/iterations:65536_cv                         1.98 %          1.67 %             5
BM_Fok_Rejected_CrossableLevels/64/iterations:65536_mean                        206 ns          205 ns            5
BM_Fok_Rejected_CrossableLevels/64/iterations:65536_median                      206 ns          205 ns            5
BM_Fok_Rejected_CrossableLevels/64/iterations:65536_stddev                    0.229 ns        0.298 ns            5
BM_Fok_Rejected_CrossableLevels/64/iterations:65536_cv                         0.11 %          0.15 %             5
BM_Fok_Rejected_CrossableLevels/256/iterations:65536_mean                       985 ns          984 ns            5
BM_Fok_Rejected_CrossableLevels/256/iterations:65536_median                     984 ns          984 ns            5
BM_Fok_Rejected_CrossableLevels/256/iterations:65536_stddev                    3.43 ns         3.52 ns            5
BM_Fok_Rejected_CrossableLevels/256/iterations:65536_cv                        0.35 %          0.36 %             5
BM_Fok_Rejected_CrossableLevels/1024/iterations:62500_mean                     5603 ns         5596 ns            5
BM_Fok_Rejected_CrossableLevels/1024/iterations:62500_median                   5597 ns         5592 ns            5
BM_Fok_Rejected_CrossableLevels/1024/iterations:62500_stddev                   9.70 ns         9.03 ns            5
BM_Fok_Rejected_CrossableLevels/1024/iterations:62500_cv                       0.17 %          0.16 %             5
BM_Fok_Rejected_BackgroundDepth/0/iterations:65536_mean                        6.56 ns         6.56 ns            5
BM_Fok_Rejected_BackgroundDepth/0/iterations:65536_median                      6.56 ns         6.56 ns            5
BM_Fok_Rejected_BackgroundDepth/0/iterations:65536_stddev                     0.016 ns        0.013 ns            5
BM_Fok_Rejected_BackgroundDepth/0/iterations:65536_cv                          0.25 %          0.19 %             5
BM_Fok_Rejected_BackgroundDepth/16/iterations:65536_mean                       6.88 ns         6.88 ns            5
BM_Fok_Rejected_BackgroundDepth/16/iterations:65536_median                     6.85 ns         6.87 ns            5
BM_Fok_Rejected_BackgroundDepth/16/iterations:65536_stddev                    0.063 ns        0.062 ns            5
BM_Fok_Rejected_BackgroundDepth/16/iterations:65536_cv                         0.91 %          0.91 %             5
