Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-19T22:15:10+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 5.03, 4.82, 4.26
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
BM_Fok_Executed/64/iterations:1000_mean                                        3184 ns         3158 ns            5 items_per_second=20.264M/s
BM_Fok_Executed/64/iterations:1000_median                                      3184 ns         3157 ns            5 items_per_second=20.2724M/s
BM_Fok_Executed/64/iterations:1000_stddev                                      26.6 ns         19.4 ns            5 items_per_second=124.837k/s
BM_Fok_Executed/64/iterations:1000_cv                                          0.84 %          0.62 %             5 items_per_second=0.62%
BM_Fok_Executed/256/iterations:500_mean                                       12970 ns        12946 ns            5 items_per_second=19.7763M/s
BM_Fok_Executed/256/iterations:500_median                                     12942 ns        12940 ns            5 items_per_second=19.7836M/s
BM_Fok_Executed/256/iterations:500_stddev                                       132 ns          114 ns            5 items_per_second=174.455k/s
BM_Fok_Executed/256/iterations:500_cv                                          1.01 %          0.88 %             5 items_per_second=0.88%
BM_Fok_Executed/1024/iterations:256_mean                                      53369 ns        53196 ns            5 items_per_second=19.2499M/s
BM_Fok_Executed/1024/iterations:256_median                                    53364 ns        53098 ns            5 items_per_second=19.2852M/s
BM_Fok_Executed/1024/iterations:256_stddev                                      249 ns          274 ns            5 items_per_second=98.7424k/s
BM_Fok_Executed/1024/iterations:256_cv                                         0.47 %          0.51 %             5 items_per_second=0.51%
