Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-20T10:53:27+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 4.79, 5.98, 6.15
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
BM_Replace_PriorityPreserving/4096/iterations:65536_median                     26.3 ns         26.3 ns            5
BM_Replace_PriorityPreserving/4096/iterations:65536_stddev                    0.407 ns        0.287 ns            5
BM_Replace_PriorityPreserving/4096/iterations:65536_cv                         1.54 %          1.09 %             5
BM_Replace_PriorityPreserving/65536/iterations:65536_mean                      27.0 ns         27.0 ns            5
BM_Replace_PriorityPreserving/65536/iterations:65536_median                    26.9 ns         26.9 ns            5
BM_Replace_PriorityPreserving/65536/iterations:65536_stddev                   0.620 ns        0.617 ns            5
BM_Replace_PriorityPreserving/65536/iterations:65536_cv                        2.29 %          2.28 %             5
BM_Replace_PriorityLosing_QuantityIncrease/1/iterations:65536_mean             58.3 ns         58.3 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/1/iterations:65536_median           58.2 ns         58.2 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/1/iterations:65536_stddev          0.986 ns        0.991 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/1/iterations:65536_cv               1.69 %          1.70 %             5
BM_Replace_PriorityLosing_QuantityIncrease/16/iterations:65536_mean            43.8 ns         43.7 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/16/iterations:65536_median          43.7 ns         43.7 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/16/iterations:65536_stddev         0.350 ns        0.198 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/16/iterations:65536_cv              0.80 %          0.45 %             5
BM_Replace_PriorityLosing_QuantityIncrease/256/iterations:65536_mean           44.7 ns         44.5 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/256/iterations:65536_median         44.4 ns         44.4 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/256/iterations:65536_stddev        0.795 ns        0.495 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/256/iterations:65536_cv             1.78 %          1.11 %             5
BM_Replace_PriorityLosing_QuantityIncrease/4096/iterations:65536_mean          45.8 ns         45.8 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/4096/iterations:65536_median        45.9 ns         45.8 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/4096/iterations:65536_stddev       0.094 ns        0.085 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/4096/iterations:65536_cv            0.21 %          0.18 %             5
BM_Replace_PriorityLosing_QuantityIncrease/65536/iterations:65536_mean          201 ns          201 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/65536/iterations:65536_median        201 ns          200 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/65536/iterations:65536_stddev       1.02 ns        0.775 ns            5
BM_Replace_PriorityLosing_QuantityIncrease/65536/iterations:65536_cv           0.51 %          0.39 %             5
BM_Replace_PriorityLosing_PriceChange/1/iterations:65536_mean                  58.5 ns         58.5 ns            5
BM_Replace_PriorityLosing_PriceChange/1/iterations:65536_median                58.3 ns         58.2 ns            5
BM_Replace_PriorityLosing_PriceChange/1/iterations:65536_stddev                1.10 ns         1.05 ns            5
BM_Replace_PriorityLosing_PriceChange/1/iterations:65536_cv                    1.88 %          1.80 %             5
BM_Replace_PriorityLosing_PriceChange/16/iterations:65536_mean                 43.0 ns         43.0 ns            5
BM_Replace_PriorityLosing_PriceChange/16/iterations:65536_median               43.1 ns         43.1 ns            5
BM_Replace_PriorityLosing_PriceChange/16/iterations:65536_stddev              0.366 ns        0.353 ns            5
BM_Replace_PriorityLosing_PriceChange/16/iterations:65536_cv                   0.85 %          0.82 %             5
BM_Replace_PriorityLosing_PriceChange/256/iterations:65536_mean                44.4 ns         44.4 ns            5
BM_Replace_PriorityLosing_PriceChange/256/iterations:65536_median              44.4 ns         44.4 ns            5
BM_Replace_PriorityLosing_PriceChange/256/iterations:65536_stddev             0.293 ns        0.237 ns            5
BM_Replace_PriorityLosing_PriceChange/256/iterations:65536_cv                  0.66 %          0.53 %             5
BM_Replace_PriorityLosing_PriceChange/4096/iterations:65536_mean                111 ns          111 ns            5
BM_Replace_PriorityLosing_PriceChange/4096/iterations:65536_median              112 ns          112 ns            5
BM_Replace_PriorityLosing_PriceChange/4096/iterations:65536_stddev            0.902 ns        0.912 ns            5
BM_Replace_PriorityLosing_PriceChange/4096/iterations:65536_cv                 0.81 %          0.82 %             5
BM_Replace_PriorityLosing_PriceChange/65536/iterations:65536_mean               213 ns          213 ns            5
BM_Replace_PriorityLosing_PriceChange/65536/iterations:65536_median             213 ns          213 ns            5
BM_Replace_PriorityLosing_PriceChange/65536/iterations:65536_stddev           0.847 ns        0.897 ns            5
BM_Replace_PriorityLosing_PriceChange/65536/iterations:65536_cv                0.40 %          0.42 %             5
BM_Fok_Rejected_CrossableLevels/1/iterations:65536_mean                        12.6 ns         12.6 ns            5
BM_Fok_Rejected_CrossableLevels/1/iterations:65536_median                      12.6 ns         12.6 ns            5
BM_Fok_Rejected_CrossableLevels/1/iterations:65536_stddev                     0.061 ns        0.063 ns            5
BM_Fok_Rejected_CrossableLevels/1/iterations:65536_cv                          0.48 %          0.50 %             5
BM_Fok_Rejected_CrossableLevels/4/iterations:65536_mean                        27.2 ns         27.2 ns            5
BM_Fok_Rejected_CrossableLevels/4/iterations:65536_median                      27.3 ns         27.3 ns            5
BM_Fok_Rejected_CrossableLevels/4/iterations:65536_stddev                     0.412 ns        0.419 ns            5
BM_Fok_Rejected_CrossableLevels/4/iterations:65536_cv                          1.51 %          1.54 %             5
BM_Fok_Rejected_CrossableLevels/16/iterations:65536_mean                       71.4 ns         71.3 ns            5
BM_Fok_Rejected_CrossableLevels/16/iterations:65536_median                     71.2 ns         71.2 ns            5
BM_Fok_Rejected_CrossableLevels/16/iterations:65536_stddev                    0.888 ns        0.808 ns            5
BM_Fok_Rejected_CrossableLevels/16/iterations:65536_cv                         1.24 %          1.13 %             5
BM_Fok_Rejected_CrossableLevels/64/iterations:65536_mean                        290 ns          289 ns            5
BM_Fok_Rejected_CrossableLevels/64/iterations:65536_median                      290 ns          289 ns            5
BM_Fok_Rejected_CrossableLevels/64/iterations:65536_stddev                    0.727 ns        0.682 ns            5
BM_Fok_Rejected_CrossableLevels/64/iterations:65536_cv                         0.25 %          0.24 %             5
BM_Fok_Rejected_CrossableLevels/256/iterations:65536_mean                      1325 ns         1323 ns            5
BM_Fok_Rejected_CrossableLevels/256/iterations:65536_median                    1325 ns         1323 ns            5
BM_Fok_Rejected_CrossableLevels/256/iterations:65536_stddev                    1.05 ns        0.816 ns            5
BM_Fok_Rejected_CrossableLevels/256/iterations:65536_cv                        0.08 %          0.06 %             5
BM_Fok_Rejected_CrossableLevels/1024/iterations:62500_mean                     5254 ns         5247 ns            5
BM_Fok_Rejected_CrossableLevels/1024/iterations:62500_median                   5255 ns         5246 ns            5
BM_Fok_Rejected_CrossableLevels/1024/iterations:62500_stddev                   3.22 ns         2.36 ns            5
BM_Fok_Rejected_CrossableLevels/1024/iterations:62500_cv                       0.06 %          0.05 %             5
BM_Fok_Rejected_BackgroundDepth/0/iterations:65536_mean                        12.5 ns         12.5 ns            5
BM_Fok_Rejected_BackgroundDepth/0/iterations:65536_median                      12.5 ns         12.5 ns            5
BM_Fok_Rejected_BackgroundDepth/0/iterations:65536_stddev                     0.020 ns        0.025 ns            5
BM_Fok_Rejected_BackgroundDepth/0/iterations:65536_cv                          0.16 %          0.20 %             5
BM_Fok_Rejected_BackgroundDepth/16/iterations:65536_mean                       14.4 ns         14.4 ns            5
BM_Fok_Rejected_BackgroundDepth/16/iterations:65536_median                     14.3 ns         14.3 ns            5
BM_Fok_Rejected_BackgroundDepth/16/iterations:65536_stddev                    0.269 ns        0.235 ns            5
BM_Fok_Rejected_BackgroundDepth/16/iterations:65536_cv                         1.87 %          1.63 %             5
BM_Fok_Rejected_BackgroundDepth/256/iterations:65536_mean                      18.6 ns         18.6 ns            5
BM_Fok_Rejected_BackgroundDepth/256/iterations:65536_median                    18.6 ns         18.6 ns            5
BM_Fok_Rejected_BackgroundDepth/256/iterations:65536_stddev                   0.072 ns        0.071 ns            5
BM_Fok_Rejected_BackgroundDepth/256/iterations:65536_cv                        0.39 %          0.38 %             5
BM_Fok_Rejected_BackgroundDepth/4096/iterations:15621_mean                     27.0 ns         27.0 ns            5
BM_Fok_Rejected_BackgroundDepth/4096/iterations:15621_median                   27.0 ns         27.0 ns            5
BM_Fok_Rejected_BackgroundDepth/4096/iterations:15621_stddev                  0.261 ns        0.281 ns            5
BM_Fok_Rejected_BackgroundDepth/4096/iterations:15621_cv                       0.96 %          1.04 %             5
BM_Fok_Rejected_BackgroundDepth/65536/iterations:976_mean                      46.0 ns         46.1 ns            5
BM_Fok_Rejected_BackgroundDepth/65536/iterations:976_median                    41.9 ns         42.0 ns            5
BM_Fok_Rejected_BackgroundDepth/65536/iterations:976_stddev                    10.0 ns         10.3 ns            5
BM_Fok_Rejected_BackgroundDepth/65536/iterations:976_cv                       21.82 %         22.39 %             5
BM_Fok_Executed/1/iterations:8000_mean                                         71.1 ns         71.1 ns            5 items_per_second=14.0675M/s
BM_Fok_Executed/1/iterations:8000_median                                       71.2 ns         71.2 ns            5 items_per_second=14.0351M/s
BM_Fok_Executed/1/iterations:8000_stddev                                       1.07 ns         1.12 ns            5 items_per_second=220.958k/s
BM_Fok_Executed/1/iterations:8000_cv                                           1.51 %          1.58 %             5 items_per_second=1.57%
BM_Fok_Executed/4/iterations:4000_mean                                          457 ns          457 ns            5 items_per_second=8.75759M/s
BM_Fok_Executed/4/iterations:4000_median                                        456 ns          456 ns            5 items_per_second=8.76232M/s
BM_Fok_Executed/4/iterations:4000_stddev                                       1.28 ns         1.33 ns            5 items_per_second=25.5826k/s
BM_Fok_Executed/4/iterations:4000_cv                                           0.28 %          0.29 %             5 items_per_second=0.29%
BM_Fok_Executed/16/iterations:2000_mean                                        2297 ns         2290 ns            5 items_per_second=6.98639M/s
BM_Fok_Executed/16/iterations:2000_median                                      2295 ns         2287 ns            5 items_per_second=6.99606M/s
BM_Fok_Executed/16/iterations:2000_stddev                                      12.4 ns         9.72 ns            5 items_per_second=29.5849k/s
BM_Fok_Executed/16/iterations:2000_cv                                          0.54 %          0.42 %             5 items_per_second=0.42%
BM_Fok_Executed/64/iterations:1000_mean                                       10128 ns        10107 ns            5 items_per_second=6.33218M/s
BM_Fok_Executed/64/iterations:1000_median                                     10140 ns        10112 ns            5 items_per_second=6.32911M/s
BM_Fok_Executed/64/iterations:1000_stddev                                      41.5 ns         35.2 ns            5 items_per_second=22.0706k/s
BM_Fok_Executed/64/iterations:1000_cv                                          0.41 %          0.35 %             5 items_per_second=0.35%
BM_Fok_Executed/256/iterations:500_mean                                       46803 ns        46711 ns            5 items_per_second=5.48064M/s
BM_Fok_Executed/256/iterations:500_median                                     46724 ns        46674 ns            5 items_per_second=5.48485M/s
BM_Fok_Executed/256/iterations:500_stddev                                       280 ns          238 ns            5 items_per_second=27.8895k/s
BM_Fok_Executed/256/iterations:500_cv                                          0.60 %          0.51 %             5 items_per_second=0.51%
BM_Fok_Executed/1024/iterations:256_mean                                     288961 ns       288510 ns            5 items_per_second=3.5495M/s
BM_Fok_Executed/1024/iterations:256_median                                   288246 ns       287859 ns            5 items_per_second=3.55729M/s
BM_Fok_Executed/1024/iterations:256_stddev                                     2404 ns         2585 ns            5 items_per_second=31.6958k/s
BM_Fok_Executed/1024/iterations:256_cv                                         0.83 %          0.90 %             5 items_per_second=0.89%
