Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-19T22:46:18+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 5.10, 5.14, 5.06
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
BM_Fok_Rejected_CrossableLevels/16/iterations:65536_cv                         0.95 %          0.91 %             5
BM_Fok_Rejected_CrossableLevels/64/iterations:65536_mean                        232 ns          232 ns            5
BM_Fok_Rejected_CrossableLevels/64/iterations:65536_median                      233 ns          232 ns            5
BM_Fok_Rejected_CrossableLevels/64/iterations:65536_stddev                    0.669 ns        0.632 ns            5
BM_Fok_Rejected_CrossableLevels/64/iterations:65536_cv                         0.29 %          0.27 %             5
BM_Fok_Rejected_CrossableLevels/256/iterations:65536_mean                      1473 ns         1472 ns            5
BM_Fok_Rejected_CrossableLevels/256/iterations:65536_median                    1471 ns         1469 ns            5
BM_Fok_Rejected_CrossableLevels/256/iterations:65536_stddev                    6.11 ns         6.01 ns            5
BM_Fok_Rejected_CrossableLevels/256/iterations:65536_cv                        0.41 %          0.41 %             5
BM_Fok_Rejected_CrossableLevels/1024/iterations:62500_mean                     5833 ns         5809 ns            5
BM_Fok_Rejected_CrossableLevels/1024/iterations:62500_median                   5849 ns         5812 ns            5
BM_Fok_Rejected_CrossableLevels/1024/iterations:62500_stddev                   50.9 ns         36.2 ns            5
BM_Fok_Rejected_CrossableLevels/1024/iterations:62500_cv                       0.87 %          0.62 %             5
BM_Fok_Rejected_BackgroundDepth/0/iterations:65536_mean                        15.3 ns         14.5 ns            5
BM_Fok_Rejected_BackgroundDepth/0/iterations:65536_median                      14.7 ns         14.5 ns            5
BM_Fok_Rejected_BackgroundDepth/0/iterations:65536_stddev                      1.48 ns        0.220 ns            5
BM_Fok_Rejected_BackgroundDepth/0/iterations:65536_cv                          9.66 %          1.52 %             5
BM_Fok_Rejected_BackgroundDepth/16/iterations:65536_mean                       10.6 ns         9.74 ns            5
BM_Fok_Rejected_BackgroundDepth/16/iterations:65536_median                     8.23 ns         8.24 ns            5
BM_Fok_Rejected_BackgroundDepth/16/iterations:65536_stddev                     4.69 ns         2.85 ns            5
BM_Fok_Rejected_BackgroundDepth/16/iterations:65536_cv                        44.25 %         29.29 %             5
BM_Fok_Rejected_BackgroundDepth/256/iterations:65536_mean                      8.72 ns         8.49 ns            5
BM_Fok_Rejected_BackgroundDepth/256/iterations:65536_median                    8.23 ns         8.22 ns            5
BM_Fok_Rejected_BackgroundDepth/256/iterations:65536_stddev                    1.09 ns        0.584 ns            5
BM_Fok_Rejected_BackgroundDepth/256/iterations:65536_cv                       12.53 %          6.88 %             5
BM_Fok_Rejected_BackgroundDepth/4096/iterations:15621_mean                     8.29 ns         8.28 ns            5
BM_Fok_Rejected_BackgroundDepth/4096/iterations:15621_median                   8.27 ns         8.26 ns            5
BM_Fok_Rejected_BackgroundDepth/4096/iterations:15621_stddev                  0.051 ns        0.057 ns            5
BM_Fok_Rejected_BackgroundDepth/4096/iterations:15621_cv                       0.61 %          0.69 %             5
BM_Fok_Rejected_BackgroundDepth/65536/iterations:976_mean                      14.4 ns         13.7 ns            5
